név,beosztás,szervezet,cím
Dr. Tarnai Tibor,Professzor emeritus,BME; Tartószerkezetek Mechanikája Tanszék,
Dr. Bojtár Imre,egyetemi tanár,BME; Tartószerkezetek Mechanikája Tanszék,
Dr. Kurutzné Kovács Márta,Professzor emeritus,BME; Tartószerkezetek Mechanikája Tanszék,
Dr. Gáspár Zsolt,egyetemi tanár,BME; Tartószerkezetek Mechanikája Tanszék,
Dr. Ádány Sándor,egyetemi docens,BME; Tartószerkezetek Mechanikája Tanszék,
Dr. Kálló Miklós,címzetes egyetemi docens,BME; Tartószerkezetek Mechanikája Tanszék,
Dr. Bocskai Zoltán,tanársegéd,BME; Tartószerkezetek Mechanikája Tanszék,
Dr Györgyi József,egyetemi magántanár,BME; Tartószerkezetek Mechanikája Tanszék,
Dr. Hincz Krisztián,egyetemi docens,BME; Tartószerkezetek Mechanikája Tanszék,
Dr. Hortobágyi Zsolt,egyetemi docens,BME; Tartószerkezetek Mechanikája Tanszék,
Dr. Kovács Flórián,egyetemi docens,BME; Tartószerkezetek Mechanikája Tanszék,
Dr. Lógó János,egyetemi docens,BME; Tartószerkezetek Mechanikája Tanszék,
Nagy Róbert,tanársegéd,BME; Tartószerkezetek Mechanikája Tanszék,
Dr. Németh Róbert,egyetemi docens,BME; Tartószerkezetek Mechanikája Tanszék,
Visy Dávid,doktorandusz,BME; Tartószerkezetek Mechanikája Tanszék,
Szakály Ferenc,doktorandusz,BME; Tartószerkezetek Mechanikája Tanszék,
Balogh Bence,doktorandusz,BME; Tartószerkezetek Mechanikája Tanszék,
Dr. Bagi Katalin,egyetemi tanár,BME; Tartószerkezetek Mechanikája Tanszék,
Dr. Kisgyörgy Lajos,egyetemi docens,BME; Út és Vasútépítési Tanszék,
Dr. Orosz Csaba,egyetemi docens,BME; Út és Vasútépítési Tanszék,
Dr. Józsa János,egyetemi tanár,BME; Vízépítési és Vízgazdálkodási Tanszék,
Dr. Koncsos László,egyetemi tanár,BME; Vízi közmû és Környezetmérnöki Tanszék,
Honti Ferenc,elnök,MAGÉSZ,1161 Budapest; Béla u. 84
Dr. Jármai Károly,egyetemi tanár,ME; Gépészmérnöki és Informatikai Kar; Anyagmozgatási és Logisztikai Tanszék,3515 Miskolc-Egyetemváros; A/5-ös épület; I. emelet
Dr. Illés Béla,egyetemi tanár,ME; Gépészmérnöki és Informatikai Kar; Anyagmozgatási és Logisztikai Tanszék,3515 Miskolc-Egyetemváros; A/5-ös épület; I. emelet
Dr. Farkas József,Prof. Emeritus,ME; Gépészmérnöki és Informatikai Kar; Anyagmozgatási és Logisztikai Tanszék,3515 Miskolc-Egyetemváros; A/5-ös épület; I. emelet
Dr. Bertóti Edgár,egyetemi tanár,ME; Gépészmérnöki és Informatikai Kar; Mechanikai Tanszék,3515 Miskolc-Egyetemváros; A/4 épület IV. emelet
Dr. Kozák Imre,Prof. Emeritus,ME; Gépészmérnöki és Informatikai Kar; Mechanikai Tanszék,3515 Miskolc-Egyetemváros; A/4 épület IV. emelet
Dr. Páczelt István,Prof. Emeritus,ME; Gépészmérnöki és Informatikai Kar; Mechanikai Tanszék,3515 Miskolc-Egyetemváros; A/4 épület IV. emelet
Dr. Szeidl György,Prof. Emeritus,ME; Gépészmérnöki és Informatikai Kar; Mechanikai Tanszék,3515 Miskolc-Egyetemváros; A/4 épület IV. emelet
Dr. Lenkei Péter,Prof. Emeritus,PTE; Pollack Mihály Mûszaki Kar; Szilárdságtan és Tartószerkezetek Tanszék,7624; Pécs Boszorkány u.2. (7602; Pécs II. Pf. 26)
Dr. Csébfalvi Anikó,egyetemi tanár,PTE; Pollack Mihály Mûszaki Kar; Szilárdságtan és Tartószerkezetek Tanszék,7624; Pécs Boszorkány u.2. (7602; Pécs II. Pf. 26)
Dr. M. Csizmadia Béla,egyetemi tanár,SZIE; Gépészmérnöki Kar; Mechanika és Mûszaki Ábrázolás Tanszék,2103; Gödöllõ; Páter Károly u. 1.
Keppler István,egyetemi docens,SZIE; Gépészmérnöki Kar; Mechanika és Mûszaki Ábrázolás Tanszék,2103; Gödöllõ; Páter Károly u. 1.
,,,
